frame,direction,steering,steering_smooth,stable_direction
200,LEFT TURN,-1.0,-0.5556966650951665,LEFT TURN
201,LEFT TURN,-1.0,-0.6001269985856498,LEFT TURN
202,LEFT TURN,-1.0,-0.6401142987270848,LEFT TURN
203,LEFT TURN,-1.0,-0.6761028688543763,LEFT TURN
204,LEFT TURN,-1.0,-0.7084925819689387,LEFT TURN
205,LEFT TURN,-1.0,-0.7376433237720449,LEFT TURN
206,LEFT TURN,-1.0,-0.7638789913948404,LEFT TURN
207,LEFT TURN,-0.8,-0.7674910922553564,LEFT TURN
208,LEFT TURN,-1.0,-0.7907419830298208,LEFT TURN
209,LEFT TURN,-1.0,-0.8116677847268388,LEFT TURN
210,LEFT TURN,-1.0,-0.8305010062541549,LEFT TURN
211,LEFT TURN,-1.0,-0.8474509056287394,LEFT TURN
212,LEFT TURN,-1.0,-0.8627058150658654,LEFT TURN
213,LEFT TURN,-1.0,-0.8764352335592789,LEFT TURN
214,LEFT TURN,-1.0,-0.888791710203351,LEFT TURN
215,LEFT TURN,-1.0,-0.899912539183016,LEFT TURN
216,LEFT TURN,-1.0,-0.9099212852647144,LEFT TURN
217,LEFT TURN,-1.0,-0.9189291567382429,LEFT TURN
218,LEFT TURN,-1.0,-0.9270362410644186,LEFT TURN
219,LEFT TURN,-1.0,-0.9343326169579768,LEFT TURN
220,LEFT TURN,-1.0,-0.940899355262179,LEFT TURN
221,LEFT TURN,-1.0,-0.9468094197359611,LEFT TURN
222,LEFT TURN,-1.0,-0.952128477762365,LEFT TURN
223,LEFT TURN,-1.0,-0.9569156299861284,LEFT TURN
224,LEFT TURN,-1.0,-0.9612240669875156,LEFT TURN
225,LEFT TURN,-1.0,-0.9651016602887641,LEFT TURN
226,LEFT TURN,-1.0,-0.9685914942598877,LEFT TURN
227,LEFT TURN,-1.0,-0.9717323448338989,LEFT TURN
228,LEFT TURN,-1.0,-0.974559110350509,LEFT TURN
229,LEFT TURN,-1.0,-0.9771031993154581,LEFT TURN
230,LEFT TURN,-1.0,-0.9793928793839123,LEFT TURN
231,LEFT TURN,-1.0,-0.981453591445521,LEFT TURN
232,LEFT TURN,-1.0,-0.9833082323009689,LEFT TURN
233,LEFT TURN,-1.0,-0.984977409070872,LEFT TURN
234,LEFT TURN,-1.0,-0.9864796681637847,LEFT TURN
235,LEFT TURN,-1.0,-0.9878317013474063,LEFT TURN
236,LEFT TURN,-1.0,-0.9890485312126657,LEFT TURN
237,LEFT TURN,-1.0,-0.9901436780913991,LEFT TURN
238,LEFT TURN,-1.0,-0.9911293102822593,LEFT TURN
239,LEFT TURN,-1.0,-0.9920163792540333,LEFT TURN
240,LEFT TURN,-1.0,-0.99281474132863,LEFT TURN
241,LEFT TURN,-1.0,-0.993533267195767,LEFT TURN
242,LEFT TURN,-1.0,-0.9941799404761903,LEFT TURN
243,LEFT TURN,-1.0,-0.9947619464285713,LEFT TURN
244,LEFT TURN,-1.0,-0.9952857517857142,LEFT TURN
245,LEFT TURN,-1.0,-0.9957571766071428,LEFT TURN
246,LEFT TURN,-1.0,-0.9961814589464285,LEFT TURN
247,LEFT TURN,-1.0,-0.9965633130517857,LEFT TURN
248,LEFT TURN,-1.0,-0.9969069817466071,LEFT TURN
249,LEFT TURN,-1.0,-0.9972162835719464,LEFT TURN
250,LEFT TURN,-1.0,-0.9974946552147517,LEFT TURN
251,LEFT TURN,-1.0,-0.9977451896932765,LEFT TURN
